,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
539,2016-11-14,ElasticRun,Technology,Tech driven Logistic & distribution platform,pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,2000000,2.0,"['Kalaari Capital', ' Norwest Venture Partners']",2016
540,2016-11-15,NoBroker,Consumer Internet,Online Rental discovery,bangalore,Vijay Shekhar Sharma,Seed Funding,1070000,1.0,['Vijay Shekhar Sharma'],2016
541,2016-11-15,Zefo,eCommerce,Used Furniture & Appliances Marketplace,bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,6000000,3.0,"['Sequoia India', ' BEENEXT', ' Helion Ventures']",2016
542,2016-11-15,PlaySimple,Technology,Mobile Gaming portal,bangalore,"SAIF Partners, IDG Ventures India",Private Equity,4000000,2.0,"['SAIF Partners', ' IDG Ventures India']",2016
543,2016-11-16,Stasis,Technology,Cloud based  health monitoring platform,bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,5000000,3.0,"['RTP-HC', ' Wonder Ventures', ' Techstars Ventures & Others']",2016
544,2016-11-17,Scienaptic,Technology,Data Analytics platform,bangalore,Pramod Bhasin,Seed Funding,1070000,1.0,['Pramod Bhasin'],2016
545,2016-11-17,Koovs,eCommerce,Fashion eTailer,new delhi,Times of India Group & Existing investors,Private Equity,13500000,1.0,['Times of India Group & Existing investors'],2016
546,2016-11-17,Lawrato,Consumer Internet,Free Legal Advice,new delhi,Indian Angel Network,Seed Funding,1070000,1.0,['Indian Angel Network'],2016
547,2016-11-17,Trip,Consumer Internet,Online Travel Portal,gurgaon,R.S Sharma,Seed Funding,1070000,1.0,['R.S Sharma'],2016
548,2016-11-17,Pictor,Consumer Internet,Product Photography Mobile App,mumbai,Quarizon,Seed Funding,147000,1.0,['Quarizon'],2016
549,2016-11-18,GramCover,Finance,Insurance Marketplace for the Rural Sector,new delhi,Omnivore Capital,Seed Funding,1000000,1.0,['Omnivore Capital'],2016
550,2016-11-18,AerMed,eCommerce,Online Pharmacy,mumbai,Hitesh Windlass,Seed Funding,1070000,1.0,['Hitesh Windlass'],2016
551,2016-11-18,WorkIndia,Consumer Internet,Job Board for Clue Collar Jobs,mumbai,Asuka Holdings,Seed Funding,1070000,1.0,['Asuka Holdings'],2016
552,2016-11-21,Bats,Consumer Internet,"Online food, Grocery ordering & Delivery",gurgaon,Devdeep Singh,Seed Funding,90000,1.0,['Devdeep Singh'],2016
553,2016-11-21,numberz,Technology,Cash Flow Management Solution for Businesses,gurgaon,"Kae Capital, Khosla Impact",Seed Funding,650000,2.0,"['Kae Capital', ' Khosla Impact']",2016
554,2016-11-22,Housing,Consumer Internet,Real Estate Portal,mumbai,Softbank Group,Private Equity,5000000,1.0,['Softbank Group'],2016
555,2016-11-22,Awesummly,Consumer Internet,Short News Mobile App,bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,147000,2.0,"['Vivek Bhargava', ' Ameera Shah']",2016
556,2016-11-22,VoLT,Consumer Internet,Ed-Tech Platform,mumbai,YMS Mobitech,Seed Funding,1070000,1.0,['YMS Mobitech'],2016
557,2016-11-22,Vymo,Technology,SaaS-based predictive analytics platform,bangalore,Sequoia India,Private Equity,5000000,1.0,['Sequoia India'],2016
558,2016-11-22,ShubhLoans,Technology,Consumer Finance & Credit Score platform,bangalore,"Sanjai Vohra, V. Bunty Bohra",Seed Funding,1070000,2.0,"['Sanjai Vohra', ' V. Bunty Bohra']",2016
559,2016-11-22,Noddapp,Consumer Internet,App based networking platform,mumbai,Undisclosed multiple investors,Seed Funding,147000,1.0,['Undisclosed multiple investors'],2016
560,2016-11-23,Knowlarity,Consumer Internet,Cloud Telephony Platform,bangalore,"Delta Partners, Sequoia India,  Mayfield, Blacksoil, Trifecta Capital",Private Equity,20000000,5.0,"['Delta Partners', ' Sequoia India', '\xa0 Mayfield', ' Blacksoil', ' Trifecta Capital']",2016
561,2016-11-23,Infisecure,Technology,Bot Protection Solutions,mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,600000,2.0,"['IDG Ventures', ' Axilor Ventures']",2016
562,2016-11-23,Udaan,eCommerce,B2B Marketplace,bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,10000000,2.0,"['Lightspeed Venture Partners India', ' Lightspeed US']",2016
563,2016-11-24,FroyoFit,Consumer Internet,Fitness Discovery Platform,indore,Dr. Pooja Gandhi,Seed Funding,1070000,1.0,['Dr. Pooja Gandhi'],2016
564,2016-11-24,Betterplace,Consumer Internet,Background Verification Services,bangalore,Venture Highway,Seed Funding,1070000,1.0,['Venture Highway'],2016
565,2016-11-24,ShareChat,Consumer Internet,Local Language Social Networking Platform,mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,4000000,4.0,"['Lightspeed India Partners', ' SAIF Partners', ' India Quotient', ' Venture Highway']",2016
566,2016-11-24,UClean,Consumer Internet,Tech Enabled Laundry Service Provider,gurgaon,Franchise India,Private Equity,1070000,1.0,['Franchise India'],2016
567,2016-11-24,Servify,Consumer Internet,Personal Device Assistant App,mumbai,"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar",Private Equity,1070000,5.0,"['Blume Ventures', ' BEENEXT', ' Barkawi Holdings GmbH', ' TM Service Technology Holdings Gmbh', ' Sreevathsa Prabhakar']",2016
568,2016-11-25,Hubilo,Consumer Internet,End-to-end Event Organizers Solutions,ahmedabad,"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others",Seed Funding,1070000,8.0,"['Girish Mathrubootham', ' VC Karthic', ' Miten Mehta', ' Umasankar Nistala', ' Rakesh Patel', ' Akash Bhavsar', ' Jeevanandhan Rajagopal', ' Vikas Chadha & Others']",2016
569,2016-11-25,FunOnGo,Consumer Internet,Digital Media Content and Distribution platform,mumbai,Reliance Entertainment,Private Equity,1070000,1.0,['Reliance Entertainment'],2016
570,2016-11-25,121Policy,Consumer Internet,Online Insurance Platform,kolkata,Xelpmoc,Seed Funding,1070000,1.0,['Xelpmoc'],2016
571,2016-11-26,TapChief,Consumer Internet,Professional Expert Advice Platform,bangalore,"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan",Seed Funding,1070000,4.0,"['Paytm', ' Aprameya Radhakrishna', ' Subramanya Venkat', ' Venk Krishnan']",2016
572,2016-11-28,Kloseby,Consumer Internet,proximity based  Rewards platform,bangalore,Undisclosed Investor,Seed Funding,100000,1.0,['Undisclosed Investor'],2016
573,2016-11-28,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,2000000,2.0,"['Manish Maheshwari', ' Contrarian Vriddhi Fund']",2016
574,2016-11-29,Crossahead,Consumer Internet,Creative Artists Discovery & Booking platform,noida,Mohit Sharma,Seed Funding,1070000,1.0,['Mohit Sharma'],2016
575,2016-11-29,Affordplan,Consumer Internet,Savings platform for Medical Expenses,new delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,3000000,2.0,"['Prime Venture Partners', ' Kalaari Capital']",2016
576,2016-11-30,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,1000000,3.0,"['Silver Range Investments', ' Lumina Datamatics', ' Shun Yoshida & Others']",2016
577,2016-11-30,ShopsUp,eCommerce,Hyperlocal Shopping App,bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,963000,2.0,"['Anand Sankeshwar', ' Yang Shu']",2016
578,2016-11-30,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,150000,2.0,"['Shekhar Sahu', ' Nitesh Pant']",2016
579,2016-11-30,Entropika,Technology,"AI, Machine learning Solutions",bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,200000,2.0,"['Dileep Bhatt', ' Milind Chaudhary']",2016
580,2016-11-30,MarianaIQ,Technology,AI-driven B2B marketing platform,bangalore,Exfinity Venture Partners,Private Equity,2000000,1.0,['Exfinity Venture Partners'],2016
581,2016-11-30,Chai,Food & Beverage,Quick Service Restaurants,noida,Quarizon,Seed Funding,218000,1.0,['Quarizon'],2016
582,2016-11-30,Interviewpad,Technology,Engineering Interview facilitation platform,pune,Krishna Rokhale,Seed Funding,100000,1.0,['Krishna Rokhale'],2016
583,2016-11-30,Math,Consumer Internet,Online Math Learn,vadodara,Menterra Social Impact Fund,Seed Funding,440000,1.0,['Menterra Social Impact Fund'],2016
584,2016-11-30,Pulse,Consumer Internet,Campus Social Networking App,bangalore,SAIF Partners,Private Equity,500000,1.0,['SAIF Partners'],2016
585,2016-11-30,MonkeyBox,Consumer Internet,Healthy Food Delivery platform,bangalore,Blume Ventures & Others,Seed Funding,1070000,1.0,['Blume Ventures & Others'],2016
586,2016-11-30,Carcrew,Consumer Internet,Online Car repair Marketplace,mumbai,TVS Group,Seed Funding,500000,1.0,['TVS Group'],2016
587,2016-03-10,MeraKisan,eCommerce,Fruit & vegetable eTailer,bangalore,Mahindra Univeg,Seed Funding,1070000,1.0,['Mahindra Univeg'],2016
588,2016-03-10,Mystifly,Consumer Internet,Airline Ticket Aggregator,bangalore,Recruit Holdings,Private Equity,5000000,1.0,['Recruit Holdings'],2016
589,2016-03-10,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,bangalore,"American Express Ventures, Sequoia Capital",Private Equity,1070000,2.0,"['American Express Ventures', ' Sequoia Capital']",2016
590,2016-03-10,Uniphore,Technology,Speech Recognition Solutions,chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000,3.0,"['IDG Ventures', ' Indian Angel Network (IAN)', ' YourNest Angel Fund']",2016
591,2016-03-10,World,eCommerce,Art & Craft Marketplace,gurgaon,Viraj Tyagi & Others,Seed Funding,200000,1.0,['Viraj Tyagi & Others'],2016
592,2016-04-10,Giftxoxo,eCommerce,Online Gifting platform,bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,450000,1.0,['Mahindra Holidays & Resorts India Ltd'],2016
593,2016-04-10,Bharat,eCommerce,Online B2B Marketplace,mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,1070000,4.0,"['BeeNext', ' TV Mohandas Pai', ' Kunal Shah', ' Sandeep Tandon']",2016
594,2016-04-10,GOQii,Consumer Internet,Health & Fitness Wearable Device,mumbai,Ratan Tata,Private Equity,1070000,1.0,['Ratan Tata'],2016
595,2016-04-10,India,eCommerce,Online Gifting platform,noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000,2.0,"['Naveen Arya', ' Tarun Joshi']",2016
596,2016-04-10,Moglix,eCommerce,Industrial & Home products marketplace,noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000,3.0,"['Accel Partners', ' Jungle Ventures', ' SeedPlus']",2016
597,2016-04-10,NetLinx,Consumer Internet,Internet Service Provider,hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000,2.0,"['Xchange Investors NV', ' TransGlobal FZC']",2016
598,2016-04-10,Scandid,Consumer Internet,Product Shopping Comparison App,pune,3One4 Capital,Private Equity,1070000,1.0,['3One4 Capital'],2016
599,2016-04-10,Remitr,Consumer Internet,Foreign Currency Payments Platform,mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,  Smart Start Fund; Kunal Shah,  Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000,6.0,"['Vijay Shekhar Sharma', ' Pravin Gandhi', '\xa0 Smart Start Fund; Kunal Shah', '\xa0 Sandeep Tandon', ' Vishal Gondal', ' & Others']",2016
600,2016-04-10,InnerChef,Consumer Internet,Online food ordering platform,gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000,2.0,"['Mistletoe', ' M&S Partners']",2016
601,2016-04-10,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000,5.0,"['Zodius Capital', ' Kalaari Capital', ' Qualcomm Ventures', ' Russian venture capital fund Ru-Net', ' Mumbai Angels']",2016
602,2016-05-10,MuhurtMaza,Consumer Internet,Online Puja Booking Service,pune,Undisclosed Investor,Seed Funding,1070000,1.0,['Undisclosed Investor'],2016
603,2016-05-10,Azuro,Consumer Internet,Rental Property Finder platform,mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,1070000,3.0,"['White Unicorn Ventures', ' Kae Capital', ' Mumbai Angels']",2016
604,2016-05-10,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,1070000,3.0,"['Indian Angel Network', ' Healthsquad', ' Axilor Ventures']",2016
605,2016-05-10,UE,Technology,Mobile Health Technology Solutions,mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000,2.0,"['Kiran Mazumdar-Shaw', ' Unitus Seed Fund']",2016
606,2016-06-10,FindmeaShoe,Consumer Internet,Footwear Recommendation App,bangalore,Ventureast Fund Advisors,Seed Funding,1070000,1.0,['Ventureast Fund Advisors'],2016
607,2016-06-10,RealBox,Technology,Data Sciences Platform,noida,Hyderabad Angels,Seed Funding,300000,1.0,['Hyderabad Angels'],2016
608,2016-06-10,Sportido,Consumer Internet,Sports Discovery platform,noida,Sumpoorna Group,Seed Funding,1070000,1.0,['Sumpoorna Group'],2016
609,2016-06-10,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,bangalore,"Helion Venture Partners, BeeNext",Private Equity,1050000,2.0,"['Helion Venture Partners', ' BeeNext']",2016
610,2016-07-10,RayIOT,Technology,Baby Monitoring Devices manufacturer,bangalore,HAX Accelerator,Seed Funding,100000,1.0,['HAX Accelerator'],2016
611,2016-07-10,KOOH,Technology,Sports Training & Technology,mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000,3.0,"['HDFC', ' Faering Capital', ' Elevate Sports']",2016
612,2016-07-10,Flexiloans,Consumer Internet,Online Funds Raising Platform,mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000,4.0,"['Sanjay Nayar', ' Vikram Sud', ' Anil Jaggia', ' Narayan Seshadri']",2016
613,2016-07-10,Sibia,Technology,Marketing & Customer Analytics Solutions,kolkata,Radhakrishnan Natarajan & Others,Seed Funding,1070000,1.0,['Radhakrishnan Natarajan & Others'],2016
614,2016-10-10,Vithi,eCommerce,Online Hair Extension etailer,new delhi,undisclosed investor,Seed Funding,375000,1.0,['undisclosed investor'],2016
615,2016-11-10,Yupp,Consumer Internet,Internet-based TV streaming service provider,bangalore,Emerald Media,Private Equity,50000000,1.0,['Emerald Media'],2016
616,2016-11-10,Deyor,Consumer Internet,Branded Camping location Aggregator,gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000,5.0,"['Nitin Passi', ' Manickam Mahalingam', ' Udaan Angels', ' Rajesh Arora', ' Arkas Industries']",2016
617,2016-12-10,ZipLoan,Consumer Internet,online lending platform,new delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,  Badal Malick",Seed Funding,1070000,4.0,"['GrowX Ventures', ' Sunil Kalra', ' Arun Venkatachalam', '\xa0 Badal Malick']",2016
618,2016-10-13,FabAlley,ecommerce,online fashion brand store,noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000,5.0,"['India Quotient', ' FAO Ventures', ' Indian Angel Network', ' Tushar Singh', ' Ranjan Sharma']",2016
619,2016-10-13,Shoekonnect,eCommerce,B2B Marketplace for Shoes,agra,Indian Angel Network,Seed Funding,1070000,1.0,['Indian Angel Network'],2016
620,2016-10-13,Maya,Consumer Internet,Womens Health Tracker App,bangalore,Rajan Anandan,Seed Funding,1070000,1.0,['Rajan Anandan'],2016
621,2016-10-13,RoboVac,Technology,waterless car washing solution,ahmedabad,Virendra Patel,Seed Funding,450000,1.0,['Virendra Patel'],2016
622,2016-10-14,Newspatrolling,Consumer Internet,Online News portal,new delhi,Undisclosed,Seed Funding,25000,1.0,['Undisclosed'],2016
623,2016-10-14,Postman,Consumer Internet,API Platform,bangalore,Nexus Venture Partners,Private Equity,7000000,1.0,['Nexus Venture Partners'],2016
624,2016-10-14,ISFC,Finance,Education Sector Lending,hyderabad,Gray Matters Capital,Private Equity,6000000,1.0,['Gray Matters Capital'],2016
625,2016-10-14,BeatRoute,Technology,SAAS based mobile application platform,gurgaon,Quarizon Consultancy Services LLP,Seed Funding,1070000,1.0,['Quarizon Consultancy Services LLP'],2016
626,2016-10-14,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,mumbai,Karan Bhagat,Seed Funding,1070000,1.0,['Karan Bhagat'],2016
627,2016-10-14,Innov8,Consumer Internet,Co-Working Spaces aggregator,bangalore,Punit Soni,Seed Funding,1070000,1.0,['Punit Soni'],2016
628,2016-10-15,DailyHunt,Consumer Internet,Vernacular content mobile app,bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge",Private Equity,25000000,6.0,"['ByteDance', ' Arun Sarin', ' Matrix Partners', ' Sequoia Capital India', ' Omidyar Network', '\xa0 Falcon Edge']",2016
629,2016-10-15,Tazzo,Consumer Internet,Motorbike rental platform,hyderabad,DSG Consumer Partners,Seed Funding,227000,1.0,['DSG Consumer Partners'],2016
630,2016-10-15,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,1000000,2.0,"['Mayank Shah', ' Shreyans Shah']",2016
631,2016-10-17,Trilyo,Technology,B2B SAAS based product,bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,1070000,3.0,"['Vishnu Bhat', ' Rajiv Lunkad', ' Naresh Ravindranath']",2016
632,2016-10-17,Rooter,Consumer Internet,Sports Social Network mobile app,new delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,1070000,3.0,"['Boman Irani', ' Dhruv Chitgopekar', ' Prantik Dasgupta']",2016
633,2016-10-17,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,gurgaon,Hemant Sahni,Seed Funding,300000,1.0,['Hemant Sahni'],2016
634,2016-10-17,Rentalpha,Others,equipment rental and leasing company,mumbai,Bravia Capital,Private Equity,16000000,1.0,['Bravia Capital'],2016
635,2016-10-18,3Dexter,Technology,3D Printing Solutions for Edu space,new delhi,Newbie Promoters,Seed Funding,150000,1.0,['Newbie Promoters'],2016
636,2016-10-18,BabyChakra,Consumer Internet,Parenting and Child Care portal,mumbai,RoundGlass Partners,Private Equity,1070000,1.0,['RoundGlass Partners'],2016
637,2016-10-18,Coppre,eCommerce,Copper based items etailer,pune,Ganesh Natarajan,Seed Funding,1070000,1.0,['Ganesh Natarajan'],2016
638,2016-10-18,MySUN,Technology,Solar Energy harnessing products marketplace,noida,General Catalyst Partners,Private Equity,2500000,1.0,['General Catalyst Partners'],2016
639,2016-10-18,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,bangalore,"Hyderabad Angels, TLabs",Seed Funding,1070000,2.0,"['Hyderabad Angels', ' TLabs']",2016
640,2016-10-19,Furlenco,Consumer Internet,Online Furniture Rental platform,bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000,2.0,"['Lightbox Ventures', ' Axis Capital & Others']",2016
641,2016-10-19,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000,3.0,"['Saama Capital', ' Raghunandan G', ' Aprameya Radhakrishna']",2016
642,2016-10-19,Actofit,Technology,Wearable Technology platform & devices,mumbai,Next Orbit Ventures Fund,Private Equity,750000,1.0,['Next Orbit Ventures Fund'],2016
643,2016-10-20,Stayology,Consumer Internet,Stay & Travel related services,bangalore,Ranjan Pai,Seed Funding,1070000,1.0,['Ranjan Pai'],2016
644,2016-10-20,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,mumbai,Mobikon,Seed Funding,1070000,1.0,['Mobikon'],2016
645,2016-10-20,RailYatri,Consumer Internet,Train Travel Info mobile app,noida,"Helion Ventures, Blume ventures",Private Equity,1070000,2.0,"['Helion Ventures', ' Blume ventures']",2016
646,2016-10-21,ChatOnGo,Consumer Internet,Hyperlocal  Communication Mobile app,mumbai,Janak Jain,Seed Funding,300000,1.0,['Janak Jain'],2016
647,2016-10-23,WOTU,eCommerce,B2B Marketplace for traders,bangalore,KAE capital,Seed Funding,1070000,1.0,['KAE capital'],2016
648,2016-10-24,Healthians,Consumer Internet,Health Test Discovery & Ordering service,gurgaon,BEENEXT,Private Equity,3000000,1.0,['BEENEXT'],2016
649,2016-10-24,Box8,Consumer Internet,Online Food Ordering platform/App,mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000,2.0,"['IIFL Seed Ventures Fund', ' Mayfield Ventures']",2016
650,2016-10-25,Kredx,eCommerce,Invoice discounting marketplace,bangalore,Sequoia Capital,Private Equity,6000000,1.0,['Sequoia Capital'],2016
651,2016-10-25,CreditMate,Consumer Internet,Credit Report Info platform,mumbai,India Quotient,Seed Funding,500000,1.0,['India Quotient'],2016
652,2016-10-25,Pickrr,Technology,Courier Logistics & Order management Solutions,new delhi,Swastika Company Ltd,Seed Funding,1070000,1.0,['Swastika Company Ltd'],2016
653,2016-10-25,SatvaKart,eCommerce,Online Grocery Etailer,gurgaon,Nimit Panigrahi,Seed Funding,1070000,1.0,['Nimit Panigrahi'],2016
654,2016-10-25,SooperMO,Technology,Android utility app suite creator,gurgaon,Lalit Vase,Seed Funding,100000,1.0,['Lalit Vase'],2016
655,2016-10-26,OrangeTwig,Consumer Internet,Social Media Marketing platform,new delhi,Undisclosed investor,Seed Funding,1000000,1.0,['Undisclosed investor'],2016
656,2016-10-26,Wooplr,Consumer Internet,Fashion Discovery App,bangalore,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,1070000,2.0,"['Astarc Ventures', ' Anand Chandrasekaran']",2016
657,2016-10-26,The,eCommerce,Online Tea Etailer,ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,1000000,2.0,"['hooting Starts Sports LLP', ' Franchise India Brands']",2016
658,2016-10-27,Idea,Consumer Internet,Doctor Consulting platform,bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,700000,3.0,"['1Crowd', ' Eureka Forbes Ltd', ' Shapoorji Pallonji & Co. Ltd.']",2016
659,2016-10-27,FR8,Technology,Truck Fleet Operation platform,chennai,Omnivore Partners,Private Equity,971000,1.0,['Omnivore Partners'],2016
660,2016-10-27,Ather,Technology,Electric Vehicle Manufacturer,bangalore,Hero MotoCorp,Private Equity,27000000,1.0,['Hero MotoCorp'],2016
661,2016-10-28,Pikkol,Logistics,Relocation Service provider,bangalore,"Ajay Nanavati, Afsal Salu",Seed Funding,1070000,2.0,"['Ajay Nanavati', ' Afsal Salu']",2016
662,2016-10-29,Velmenni,Technology,LiFi based wireless communication provider,new delhi,Kalaari Capital,Seed Funding,100000,1.0,['Kalaari Capital'],2016
